date,country_code,fci_pca,window_label,episode
1999-01-31,DE,1.9539857397815037,tranquil,
1999-02-28,DE,1.9978185462987812,tranquil,
1999-03-31,DE,1.8125575013697184,tranquil,
1999-04-30,DE,1.8300566532847868,tranquil,
1999-05-31,DE,1.8745087006560588,tranquil,
1999-06-30,DE,1.7432579708065208,tranquil,
1999-07-31,DE,1.5841017346133723,tranquil,
1999-08-31,DE,1.80716476233561,tranquil,
1999-09-30,DE,1.8212361750876171,tranquil,
1999-10-31,DE,2.0623195565715693,buffer,
1999-11-30,DE,1.8331865597432235,buffer,
1999-12-31,DE,1.8193464867672964,buffer,
2000-01-31,DE,2.1932728337382854,stress,Dot-com bust
2000-02-29,DE,2.1632154547917763,stress,Dot-com bust
2000-03-31,DE,2.0825573906613917,stress,Dot-com bust
2000-04-30,DE,2.4976989286886035,stress,Dot-com bust
2000-05-31,DE,2.559222178838776,stress,Dot-com bust
2000-06-30,DE,2.39239415585359,stress,Dot-com bust
2000-07-31,DE,2.229324300322727,stress,Dot-com bust
2000-08-31,DE,2.124912882515116,stress,Dot-com bust
2000-09-30,DE,2.2190948864622495,stress,Dot-com bust
2000-10-31,DE,3.2780019356178296,stress,Dot-com bust
2000-11-30,DE,3.43856508875093,stress,Dot-com bust
2000-12-31,DE,3.6351244731033807,stress,Dot-com bust
2001-01-31,DE,3.360733922465782,stress,Dot-com bust
2001-02-28,DE,3.1824360925609785,stress,Dot-com bust
2001-03-31,DE,3.615766029623273,stress,Dot-com bust
2001-04-30,DE,3.778109197380238,stress,Dot-com bust
2001-05-31,DE,3.2136477565748525,stress,Dot-com bust
2001-06-30,DE,3.2080541598272436,stress,Dot-com bust
2001-07-31,DE,3.3179543507114393,stress,Dot-com bust
2001-08-31,DE,3.3086404533183553,stress,Dot-com bust
2001-09-30,DE,4.2187792472366885,stress,Dot-com bust
2001-10-31,DE,3.902866214029223,stress,Dot-com bust
2001-11-30,DE,3.446809374769623,stress,Dot-com bust
2001-12-31,DE,3.407702776039463,stress,Dot-com bust
2002-01-31,DE,3.2183932857654094,stress,Dot-com bust
2002-02-28,DE,3.3382666345407963,stress,Dot-com bust
2002-03-31,DE,3.0791905622508517,stress,Dot-com bust
2002-04-30,DE,3.148087872044622,stress,Dot-com bust
2002-05-31,DE,3.157856682489576,stress,Dot-com bust
2002-06-30,DE,3.339679576472742,stress,Dot-com bust
2002-07-31,DE,3.745635567982352,stress,Dot-com bust
2002-08-31,DE,3.8111955714458663,stress,Dot-com bust
2002-09-30,DE,4.008020501271986,stress,Dot-com bust
2002-10-31,DE,4.157549307247385,stress,Dot-com bust
2002-11-30,DE,3.529220633658658,stress,Dot-com bust
2002-12-31,DE,3.5229603698687577,stress,Dot-com bust
2003-01-31,DE,3.351103172318071,buffer,
2003-02-28,DE,3.551107474094616,buffer,
2003-03-31,DE,3.53354666032543,buffer,
2003-04-30,DE,3.0120211169932345,tranquil,
2003-05-31,DE,2.694819547225275,tranquil,
